Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
41064,Sachgesamtheit,Kreis Stormarn,"Ahrensburg, Stadt","Am Alten Markt 1, 5, Am Alten Markt",Schlosskirche,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Schlosskirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Granit-Böschungsmauern (Am Alten Markt); Gottesbuden (Nordtrakt) (Am Alten Markt 1), Gottesbuden (Südtrakt) (Am Alten Markt 5)",
42510,Mehrheit von baulichen Anlagen,Kreis Stormarn,"Ahrensburg, Stadt","Am Alten Markt 4a, 6","Wohnbauten Am Alten Markt 4a, 6","Wohnbauten Am Alten Markt 4a, 6; um 1880, 1907; Wohnhaus mit ehem. Druckerei, ehem. Organistenhaus, Bauten des Historismus und Jugendstil in der Flucht der brocken Straßenführung und als Raumkante gegenüber der Schlosskirche","Geschichtlich, Städtebaulich","Wohnhaus mit ehem. Druckerei (Am Alten Markt 4a), ehem. Organistenhaus (Am Alten Markt 6)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/42510.jpg
441,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 1,Gottesbuden (Nordtrakt),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/441.jpg
27759,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 5,Gottesbuden (Südtrakt),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27759.jpg
23745,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 9,Pastorat / Gemeindehaus,"Pastorat und Gemeindebau; 1927, Architekten Henry Grell und Peter Pruter; giebelständiger Saalbau unter Satteldach, mit eingeschossigem flach gedecktem Vorbau über L-förmigen Grundriss verschränkt mit zweigeschossigem, traufständigem Wohnhaus unter Walmdach, Klinkerbauweise; Baudekor; Garten","Geschichtlich, Künstlerisch, Städtebaulich","Pastorat / Gemeindehaus, Pastoratsgarten",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/23745.jpg
27975,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 10,Wohnhaus,"Wohnhaus; wohl von 1762, Johann Gottfried Rosenberg als Architekten zugeschrieben; eingeschossiger, traufständiger, langgestreckter Backsteinbau unter Halbwalmdach in Hartdeckung; Segmentbogengliederung, zwei Eingangstüren","Geschichtlich, Städtebaulich","Wohnhaus, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27975.jpg
451,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt,Schlosskirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/451.jpg
54703,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Bocksberg 1,Herrenhaus Lindenhof,"Herrenhaus; 1906, 1919 erweitert, Architekt Erich Elingius; zweigeschossiger, traufständiger, langgezogener Putzbau, flachgeneigtes Satteldach, außermittiger Risalit, Holzveranda; Parkanlage, Stützmauer","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Herrenhaus Lindenhof, Parkanlage, Stützmauer",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54703.jpg
439,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bei der Alten Kate 4,Alte Kate,Alteintragung (Aktualisierung vorgesehen),Geschichtlich,gesamtes Objekt,
440,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bei der Alten Kate 6,Kate,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
27978,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Beimoorweg 47,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude, ehem. Gasthaus und Hengststation; um 1850, Bauherren Grafen von Schimmelmann; eingeschossiger, giebelständiger Fachwerkbau mit Backsteinausfachung auf Feldsteinsockel unter Halbwalmdach in Reetdeckung, Windfang","Geschichtlich, Kulturlandschaftlich","Wohn- und Wirtschaftsgebäude, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27978.jpg
8135,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bornkampsweg 35,Wulfsdorferhof: Gutshaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8135.jpg
24701,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hagener Allee 74,Villa,"Villa; 1906; eingeschossiger verputzter Massivbau mit hartgedecktem Halbwalmdach, vorder- wie rückseitig zweigeschossiger Seitenrisalit, verdachter Balkon mit Zierschnitzwerk, mit Nebengebäude und Einfriedung","Geschichtlich, Städtebaulich","Villa, Nebengebäude, Einfriedung",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/24701.jpg
7297,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hamburger Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
2673,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hugo-Schilling-Weg 2,Villa,"Villa; 1902; zweigeschossiger, stark gegliederter Putzbau unter verschiedenen Dachformen in Hartdeckung, Eckturm mit geschwungener Haube, Risalite, Windfang, Veranda, Terrasse; Schmuckfachwerk, Baudekor, Bleiverglasung","Geschichtlich, Künstlerisch","Villa, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2673.jpg
27033,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Kleiner Gänsebarg,Ehrenmal für die Gefallenen des Ersten Weltkrieges,"Ehrenmal; 1922, nach 1950 umgewidmet für die Opfer beider Weltkriege; kreisrunde Anlage mit bis auf zwei Durchgänge umlaufender Mauer und hohem Obelisken, gmauert aus kleinen Findlingen und Feldsteinen, Gußbetontafel mit Stahlhelm und Lorbeerzweigen am unteren Schaft des Obelisken","Geschichtlich, Künstlerisch, Städtebaulich","Ehrenmal für die Gefallenen des Ersten Weltkrieges, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27033.jpg
2011,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 6,Verwalterhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2011.jpg
1448,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 8 - 10,Marstall,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1448.jpg
1863,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 8,Reithalle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
463,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Schloss Ahrensburg,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/463.jpg
1225,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Schlossbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1225.jpg
7296,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
13611,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Sammlungsbestand,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
26979,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Manfred-Samusch-Straße 5,Rathaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26979.jpg
31615,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Manfred-Samusch-Straße 5,Rathausvorplatz,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/31615.jpg
3943,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Mühlenredder 1,Schlossmühle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3943.jpg
48196,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Parkallee 37,Wohnhaus,"Wohnhaus; 1927, Architekten Henry Grell und Peter Pruter; eingeschossiger, giebelständiger Putzbau mit ausgebauten Dachgeschoss unter Satteldach, halbrunden Windfang, Gartenloggia; Garten","Geschichtlich, Künstlerisch, Städtebaulich","Wohnhaus, Garten",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48196.jpg
48198,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Parkallee 39,Wohnhaus,"Wohnhaus; 1927, Bauherr Henry Grell; Architekten Henry Grell und Peter Pruter; zweigeschossiger, traufständiger Klinkerbau unter Satteldach, Loggien, Außenschornsteine; Ornamentsteine; Einfriedung, Garten","Geschichtlich, Künstlerisch, Städtebaulich","Wohnhaus, Garten, Einfriedung",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48198.jpg
31387,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Rudolf-Kinau-Straße 19,Johanneskirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/31387.jpg
42512,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Schulstraße 1,Turnhalle,"Turnhalle; 1907; eingeschossiger Backsteinbau unter Mansarddach mit niedrigen Vorbau unter Halbwalmdach in Osten; Pilastergliederung, hohe und gekoppelte Drillingsfenster","Geschichtlich, Städtebaulich","Turnhalle, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/42512.jpg
27030,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Waldstraße 14,Stormarnschule,"Schulgebäude mit Turnhalle; 1910/11, Architekt Hugo Groothoff; reich gegliederter Baukomplex in späten Jugendstilformen, straßenseitig markanter Steilgiebel, Putzfassade mit Stuckdetails","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27030.jpg
13598,Gründenkmal,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt,Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Kirchhof, Grabmale bis 1870, Granit-Böschungsmauern",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13598.jpg
9642,Gründenkmal,Kreis Stormarn,"Ahrensburg, Stadt",Bornkampsweg 35,Wulfsdorferhof: Landschaftspark,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Wissenschaftlich","Wulfsdorferhof: Landschaftspark, großer Teich, Küchenteich, Teich, Birkenallee, zwei Kastanien, Terrasse",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9642.jpg
48192,Gründenkmal,Kreis Stormarn,"Ahrensburg, Stadt",Große Straße,Doppeleiche mit Gedenkstein,Schleswig-Holsteinische Doppeleiche; 1898; mit Gedenkstein,"Geschichtlich, Städtebaulich, Wissenschaftlich","Doppeleiche mit Gedenkstein, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48192.jpg
48187,Gründenkmal,Kreis Stormarn,"Ahrensburg, Stadt",Teichstraße,Dorfanger,"Dorfanger Ahrensfelde; 19. Jahrhundert; Ehrenmal für die Gefallenen des 1. Weltkrieges vor 1927, ergänzt um die Toten des 2. Weltkrieges; acht Eichen im Kreis gepflanzt mit historischem Straßenpflaster","Geschichtlich, Kulturlandschaftlich","Dorfanger, Ehrenmal für die Gefallenen beider Weltkriege, Eichenrondell, Straßenpflaster",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/48187.jpg
442,Gründenkmal,Kreis Stormarn,"Ahrensburg, Stadt",Wulfsdorfer Weg,Jüdischer Friedhof,"Jüdischer Friedhof; 1822; 23 Grabsteine, historische Vegetation; umlaufende Betonwand, 1930","Geschichtlich, Wissenschaftlich","Jüdischer Friedhof, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/442.jpg
41127,Sachgesamtheit,Kreis Stormarn,"Bad Oldesloe, Stadt",Kirchberg 8,Peter-Paul-Kirche,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Peter-Paul-Kirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Lindenkranz, Gedenktafel Rektor J. W. Lensch, Granit-Böschungsmauer",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41127.jpg
484,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 1,Mennokate,Alteintragung (Aktualisierung vorgesehen),Geschichtlich,"Mennokate, Linde",
477,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 5,Gut Altfresenburg: Gutskate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
478,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 6 - 6a,Gut Altfresenburg: Gutskate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
479,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 7,Gut Altfresenburg: Gutskate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
480,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 8,Gut Altfresenburg: Gutskate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
481,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 9,Gut Altfresenburg: Gutskate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
485,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 10,Gut Altfresenburg: Torhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
27008,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 10,nördliche Gutsscheune,"nördliche Gutsscheune; 1885; langgestreckter Backsteinbau unter Satteldach in Pfannendeckung, außermittige Längsdurchfahrt, Giebel mit Rundbogenfenster und Ziermauerwerk, im Inneren Aufteilung in Fache durch Diagonalverstrebungen","Geschichtlich, Kulturlandschaftlich, Städtebaulich, Technisch","nördliche Gutsscheune, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27008.jpg
482,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 11,Gut Altfresenburg: Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/482.jpg
483,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Altfresenburg 16,Beekkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
26923,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Am Bürgerpark 4,Stormarnhalle,"Sport- und Veranstaltungshalle; 1967-1968, Architekten M. von Gerkan & V. Marg u.a.; zweigeschossiger Stahlbetonskelettbau mit vorkragendem Flachdach, außenliegenden Betonstützen auf kreuzförmigen Grundrissen, Freitreppe, Turm und Terrasse, zugehörig auch die Freifläche im Süden mit der Bronzeplastik „Jüngling“ von Richard Kuöhl","Geschichtlich, Künstlerisch, Städtebaulich","Stormarnhalle, Freifläche, Bronzeplastik 'Jüngling'",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26923.jpg
6293,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Am Bürgerpark 5,Logenhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich","Logenhaus, Außenanlagen",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6293.jpg
6916,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Am Mühlenberg 1,ehem. Wassermühle,"ehem. Wassermühle; 2. H. 19. Jh.; zweigeschossiger, giebelständiger Fachwerkbau unter Satteldach; Schaufront aus Ziegelmauerwerk mit Ecklisenen und Ortgangfries; Mühlenteich, Wehr und Wasserführung","Geschichtlich, Kulturlandschaftlich","ehem. Wassermühle, Mühlenwehr, Wasserlauf, Mühlenteich",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6916.jpg
19824,Bauliche Anlage,Kreis Stormarn,"Bad Oldesloe, Stadt",Bahnhofstraße,Torhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/19824.jpg
