pegelNummer;pegelName;betreiber;gewaesser;geogrLaenge;geogrBreite;von;bis;parameter;stillgelegtAm;isDFUE;einzugsgebiet;pnp;pnp_gueltig_ab;gewaesserfolge
114594;Linnau;LKN, Husum;Linnau;9.176705;54.699032;2007-10-18;;Wasserstand;;false;56.11;0.010000;2018-06-18;
114425;Geschendorf 2/Bißnitz;LKN, Kiel;Bißnitz;10.420301;53.923424;1999-07-15;;Wasserstand;2019-11-14;false;33.1;26.780001;2000-11-27;Ostsee
114084;Kellersee;LKN, Kiel;Kellersee;10.573988;54.167694;1982-11-01;2020-01-22;Wasserstand;;true;148.0;0.000000;2009-07-30;
114342;Kembs 2;LKN, Kiel;Vorfluter Panker;10.579644;54.347294;1992-12-01;;Wasserstand;1996-05-20;false;5.8;0.000000;1994-11-01;
114054;Kl.Plöner See;LKN, Kiel;Kl.Plöner See;10.405465;54.154167;1969-11-01;;Wasserstand;1984-10-31;false;407.04;0.000000;1953-05-01;
111053;Meldorf Hafen BP;LKN, Husum;Miele;9.032734;54.091694;1998-10-19;;Wasserstand;;false;237.98;-5.020000;2018-01-01;
111015;Tönning BP;LKN, Husum;Norderbootfahrt;8.942661;54.315887;1978-09-08;2020-01-22;Wasserstand;;true;37.36;-5.020000;1994-11-01;
114283;Schmalsee;LKN, Itzehoe;Schmalsee;10.709828;53.619526;1988-01-01;;Wasserstand;;false;79.73;-0.005000;2011-07-05;
114412;Scholderup;LKN, Husum;Füsinger Au;9.679818;54.562965;1996-01-01;;Wasserstand;2003-11-07;false;225.11;0.000000;1996-11-21;
114181;Redingsdorfer See;LKN, Kiel;Redingsdorfer See;10.714909;54.107655;1977-11-01;;Wasserstand;2009-01-05;false;1.63;0.000000;1994-11-01;
